year,avg_temp,nyc_temp
1750,8.72,10.07
1751,7.98,10.79
1752,5.78,2.81
1753,8.39,9.52
1754,8.47,9.88
1755,8.36,6.61
1756,8.85,9.94
1757,9.02,8.89
1758,6.74,8.15
1759,7.99,9.01
1760,7.19,7.73
1761,8.77,10.18
1762,8.61,9.55
1763,7.5,7.23
1764,8.4,9.55
1765,8.25,8.96
1766,8.41,10.09
1767,8.22,8.52
1768,6.78,8.67
1769,7.69,9.1
1770,7.69,9.04
1771,7.85,10.18
1772,8.19,9.64
1773,8.22,10.08
1774,8.77,9.52
1775,9.18,10.24
1776,8.3,9.13
1777,8.26,8.77
1778,8.54,6.89
1779,8.98,0.25
1780,9.43,
1781,8.1,9.79
1782,7.9,9.15
1783,7.68,8.81
1784,7.86,8.4
1785,7.36,8.49
1786,8.26,8.98
1787,8.03,8.97
1788,8.45,9.77
1789,8.33,9.42
1790,7.98,9.39
1791,8.23,9.37
1792,8.09,8.72
1793,8.23,9.88
1794,8.53,9.83
1795,8.35,9.21
1796,8.27,8.97
1797,8.51,8.85
1798,8.67,9.71
1799,8.51,9.19
1800,8.48,9.58
1801,8.59,10
1802,8.58,10.29
1803,8.5,10.07
1804,8.84,9.69
1805,8.56,10.43
1806,8.43,9.38
1807,8.28,9.17
1808,7.63,9.57
1809,7.08,8.87
1810,6.92,9.35
1811,6.86,9.43
1812,7.05,7.8
1813,7.74,8.93
1814,7.59,8.7
1815,7.24,8.27
1816,6.94,7.92
1817,6.98,7.78
1818,7.83,8.13
1819,7.37,9.07
1820,7.62,8.98
1821,8.09,8.53
1822,8.19,9.84
1823,7.72,8.64
1824,8.55,9.29
1825,8.39,10.21
1826,8.36,9.92
1827,8.81,9.26
1828,8.17,10.7
1829,7.94,9.17
1830,8.52,10.32
1831,7.64,9.07
1832,7.45,9.15
1833,8.01,9.15
1834,8.15,9.32
1835,7.39,8.48
1836,7.7,7.51
1837,7.38,8.12
1838,7.51,8.73
1839,7.63,9.17
1840,7.8,9.27
1841,7.69,9
1842,8.02,9.41
1843,8.17,8.49
1844,7.65,9.12
1845,7.85,9.49
1846,8.55,9.66
1847,8.09,9.3
1848,7.98,9.54
1849,7.98,8.83
1850,7.9,9.1
1851,8.18,9.26
1852,8.1,8.98
1853,8.04,9.68
1854,8.21,9.56
1855,8.11,9.11
1856,8,8.2
1857,7.76,8.52
1858,8.1,9.13
1859,8.25,9.17
1860,7.96,9.18
1861,7.85,9.47
1862,7.56,9
1863,8.11,9.09
1864,7.98,9.29
1865,8.18,9.64
1866,8.29,8.95
1867,8.44,8.59
1868,8.25,7.95
1869,8.43,8.85
1870,8.2,10.04
1871,8.12,8.94
1872,8.19,8.61
1873,8.35,8.44
1874,8.43,9.06
1875,7.86,7.74
1876,8.08,9.35
1877,8.54,10.15
1878,8.83,10.38
1879,8.17,9.37
1880,8.12,9.99
1881,8.27,9.77
1882,8.13,9.22
1883,7.98,8.59
1884,7.77,9.36
1885,7.92,8.37
1886,7.95,8.9
1887,7.91,9.1
1888,8.09,8.31
1889,8.32,9.86
1890,7.97,9.62
1891,8.02,10
1892,8.07,9.15
1893,8.06,8.68
1894,8.16,9.95
1895,8.15,9.22
1896,8.21,9.51
1897,8.29,9.63
1898,8.18,10.24
1899,8.4,9.51
1900,8.5,10.4
1901,8.54,9.29
1902,8.3,9.43
1903,8.22,9.32
1904,8.09,7.87
1905,8.23,9.1
1906,8.38,9.9
1907,7.95,8.49
1908,8.19,9.87
1909,8.18,9.51
1910,8.22,9.55
1911,8.18,9.91
1912,8.17,9.24
1913,8.3,10.76
1914,8.59,9.02
1915,8.59,9.85
1916,8.23,9.1
1917,8.02,8.24
1918,8.13,9.51
1919,8.38,10.05
1920,8.36,9.19
1921,8.57,10.91
1922,8.41,10.04
1923,8.42,9.51
1924,8.51,8.85
1925,8.53,9.72
1926,8.73,8.54
1927,8.52,9.7
1928,8.63,9.82
1929,8.24,9.97
1930,8.63,10.22
1931,8.72,11.03
1932,8.71,10.44
1933,8.34,10.18
1934,8.63,9.48
1935,8.52,9.48
1936,8.55,9.73
1937,8.7,10.16
1938,8.86,10.42
1939,8.76,10.07
1940,8.76,8.53
1941,8.77,10.19
1942,8.73,9.96
1943,8.76,9.58
1944,8.85,10.01
1945,8.58,9.94
1946,8.68,10.63
1947,8.8,9.91
1948,8.75,9.83
1949,8.59,11.39
1950,8.37,9.72
1951,8.63,10.27
1952,8.64,10.52
1953,8.87,11.17
1954,8.56,10.31
1955,8.63,10.39
1956,8.28,9.75
1957,8.73,10.5
1958,8.77,9.16
1959,8.73,10.77
1960,8.58,9.76
1961,8.8,10.03
1962,8.75,9.32
1963,8.86,9.32
1964,8.41,9.96
1965,8.53,9.63
1966,8.6,9.75
1967,8.7,9.3
1968,8.52,9.75
1969,8.6,9.76
1970,8.7,9.77
1971,8.6,10.01
1972,8.5,9.49
1973,8.95,10.96
1974,8.47,10.08
1975,8.74,10.56
1976,8.35,9.53
1977,8.85,9.96
1978,8.69,9.17
1979,8.73,10.02
1980,8.98,9.86
1981,9.17,9.95
1982,8.64,9.78
1983,9.03,10.51
1984,8.69,10.26
1985,8.66,10.26
1986,8.83,10.15
1987,8.99,10.32
1988,9.2,9.93
1989,8.92,9.66
1990,9.23,11.32
1991,9.18,11.36
1992,8.84,9.57
1993,8.87,10.04
1994,9.04,10
1995,9.35,10.24
1996,9.04,9.81
1997,9.2,10
1998,9.52,11.82
1999,9.29,11.16
2000,9.2,9.97
2001,9.41,10.93
2002,9.57,11.25
2003,9.53,9.84
2004,9.32,10.39
2005,9.7,10.68
2006,9.53,11.52
2007,9.73,10.63
2008,9.43,10.64
2009,9.51,10.14
2010,9.7,11.36
2011,9.52,11.27
2012,9.51,11.97
2013,9.61,12.16
